Tamanho,Processos,Tempo_s,Delta_Max,GFLOPS
512,1,0.024142,0.000000e+00,11.118978
1024,1,0.183611,0.000000e+00,11.695815
2048,1,3.193619,0.000000e+00,5.379437
4096,1,30.024112,0.000000e+00,4.577619
512,1,0.025302,0.000000e+00,10.609156
1024,1,0.185277,0.000000e+00,11.590658
2048,1,3.808989,0.000000e+00,4.510349
4096,1,41.060945,0.000000e+00,3.347194
512,1,0.025535,0.000000e+00,10.512508
1024,1,0.185033,0.000000e+00,11.605925
2048,1,3.821819,0.000000e+00,4.495208
4096,1,41.135748,0.000000e+00,3.341107
512,2,0.020963,0.000000e+00,12.805212
1024,2,0.303373,0.000000e+00,7.078686
2048,2,2.630360,0.000000e+00,6.531377
4096,2,21.401879,0.000000e+00,6.421817
512,2,0.022153,0.000000e+00,12.115492
1024,2,0.314981,0.000000e+00,6.818815
2048,2,2.715620,0.000000e+00,6.325901
4096,2,22.014329,0.000000e+00,6.243117
512,2,0.019882,0.000000e+00,13.504821
1024,2,0.295119,0.000000e+00,7.277104
2048,2,2.584401,0.000000e+00,6.646883
4096,2,20.955172,0.000000e+00,6.558735
512,4,0.019778,0.000000e+00,13.572657
1024,4,0.174324,0.000000e+00,12.318921
2048,4,5.404300,0.000000e+00,3.178926
4096,4,20.260409,0.000000e+00,6.783622
512,4,0.020815,0.000000e+00,12.896211
1024,4,0.181450,0.000000e+00,11.837412
2048,4,5.598110,0.000000e+00,3.068889
4096,4,21.059981,0.000000e+00,6.526554
512,4,0.018953,0.000000e+00,14.163159
1024,4,0.169872,0.000000e+00,12.645227
2048,4,5.285500,0.000000e+00,3.250294
4096,4,19.841652,0.000000e+00,6.925788
512,8,0.012975,0.000000e+00,20.689278
1024,8,0.211064,0.000000e+00,10.174556
2048,8,2.141881,0.000000e+00,8.020924
4096,8,17.977689,0.000000e+00,7.644973
512,8,0.013588,0.000000e+00,19.757811
1024,8,0.219531,0.000000e+00,9.783452
2048,8,2.230145,0.000000e+00,7.698843
4096,8,18.511924,0.000000e+00,7.423109
512,8,0.012453,0.000000e+00,21.555813
1024,8,0.205117,0.000000e+00,10.471018
2048,8,2.098762,0.000000e+00,8.185225
4096,8,17.543881,0.000000e+00,7.832994
