Tamanho,Metodo,Tempo_s,GFLOPS,Delta
512,Sequencial,0.066435,4.04,0.0
512,CUDA_Naive,0.004070,65.95,6.535656e-16
512,CUDA_Tiled,0.004060,66.12,6.535656e-16
1024,Sequencial,1.187266,1.81,0.0
1024,CUDA_Naive,0.037664,57.02,6.654537e-16
1024,CUDA_Tiled,0.039000,55.06,6.654537e-16
2048,Sequencial,8.564782,2.01,0.0
2048,CUDA_Naive,0.280308,61.29,6.714143e-16
2048,CUDA_Tiled,0.189912,90.46,6.714143e-16
4096,Sequencial,64.602573,2.13,0.0
4096,CUDA_Naive,1.609010,85.42,6.755331e-16
4096,CUDA_Tiled,1.629999,84.32,6.755331e-16
